,host_listings_count,longitude,beds,host_neighbourhood_is_na,summary_is_na,license_is_na,property_type_other,"host_verifications_['email', 'phone']",room_type_Private room,price
0,1.0,13.411234099100444,1.0,False,False,True,0,0,0,48.0
1,1.0,13.55809225587136,8.0,False,False,False,0,0,0,165.0
2,2.0,13.552789826440403,1.0,False,False,True,0,0,0,37.0
3,1.0,13.325043907584783,1.0,False,False,False,0,0,0,150.0
4,1.0,13.433453588666346,4.0,True,False,True,0,0,1,150.0
5,5.0,13.325728745240426,1.0,False,False,True,1,1,1,200.0
6,1.0,13.411676513045261,1.0,False,False,True,0,1,0,95.0
7,1.0,13.30047416383513,2.0,False,False,False,0,0,0,45.0
8,3.0,13.40546902903007,2.0,False,False,True,0,1,1,72.0
9,1.0,13.431743195239447,1.0,False,False,True,0,0,0,45.0
10,1.0,13.384852163769882,1.0,False,False,True,0,0,0,65.0
11,1.0,13.424478989198064,1.0,False,False,True,0,1,1,15.0
12,1.0,13.348459262912094,1.0,False,False,True,0,0,1,24.0
13,2.0,13.467933293500831,2.0,False,False,True,0,0,0,129.0
14,1.0,13.439754738250127,1.0,False,False,True,0,0,1,30.0
15,1.0,13.386660004537553,2.0,False,False,True,0,1,0,130.0
16,1.0,13.427932582280615,2.0,False,False,True,0,1,0,65.0
17,1.0,13.393841220181544,1.0,True,False,True,0,0,0,60.0
18,1.0,13.48827086986998,1.0,True,False,True,1,1,1,60.0
19,1.0,13.423389365486901,1.0,True,False,True,0,0,1,27.0
20,1.0,13.433471568436403,1.0,False,False,True,0,0,0,69.0
21,1.0,13.453512860925267,1.0,False,False,True,0,0,0,70.0
22,1.0,13.377856112955685,1.0,False,False,True,0,0,1,60.0
23,5.0,13.413547530260944,2.0,False,False,True,0,0,0,125.0
24,3.0,13.385113580012641,1.0,False,False,True,0,0,1,30.0
25,1.0,13.433221492440564,1.0,False,False,True,0,0,1,35.0
26,1.0,13.415815044387815,1.0,True,False,True,0,0,1,18.0
27,4.0,13.31580505425039,1.0,False,False,True,0,0,0,30.0
28,2.0,13.424038252914126,2.0,False,False,True,0,0,0,75.0
29,2.0,13.426436963670941,1.0,False,False,True,0,0,1,32.0
30,2.0,13.388199103785105,1.0,False,False,True,0,0,0,88.0
31,1.0,13.472727229597904,2.0,False,False,True,0,1,1,40.0
32,1.0,13.42543548942833,1.0,False,True,False,0,0,0,92.0
33,11.0,13.48883365881758,3.0,False,False,True,1,0,0,189.0
34,1.0,13.454173141909664,1.0,False,False,True,0,0,0,30.0
35,4.0,13.453495133277276,1.0,False,False,False,0,0,0,80.0
36,1.0,13.430973467590935,1.0,False,False,True,0,0,1,25.0
37,1.0,13.424309204130326,2.0,False,False,True,0,0,1,70.0
38,1.0,13.406803973800239,2.0,True,False,True,0,0,0,55.0
39,2.3306845423066678,13.381178233156126,2.0,True,False,True,0,0,0,125.0
40,1.0,13.406274988631578,1.0,False,False,True,0,0,0,40.0
41,3.0,13.301336564794015,1.0,False,False,True,0,0,1,34.0
42,2.0,13.42977235543604,1.0,False,False,True,0,0,1,45.0
43,1.0,13.402612483930787,1.0,False,False,True,0,0,1,35.0
44,2.0,13.331096301132707,1.0,True,False,True,0,0,1,45.0
45,1.0,13.424881602914011,2.0,True,False,True,0,0,1,41.0
46,1.0,13.346191105146186,2.0,True,False,True,0,0,0,115.0
47,1.0,13.423034232097173,1.0,False,False,True,0,0,1,70.0
48,1.0,13.436540268997259,1.0,False,False,True,0,0,0,65.0
49,2.0,13.421927392547676,1.0,False,False,True,0,0,1,50.0
50,17.0,13.182517297874469,3.0,False,False,False,0,0,0,37.0
51,1.0,13.377137705335535,4.0,False,False,True,0,0,0,197.0
52,1.0,13.416485078540607,1.0,False,False,True,1,1,1,20.0
53,1.0,13.343714167334593,1.0,False,False,True,0,0,1,30.0
54,3.0,13.555487308729427,1.0,True,False,True,0,0,1,35.0
55,2.0,13.444117955938893,1.0,False,False,True,0,0,1,25.0
56,1.0,13.445145789308526,4.0,False,False,False,0,0,0,250.0
57,1.0,13.4413637268629,2.0,False,False,True,0,0,1,70.0
58,2.0,13.4159696617781,1.0,False,False,True,0,0,0,34.0
